Date,Team_1,Team_2,T1AEM,T1AOE,T1ADE,T1AT,T1Luck,T1SOSR,T1AAOEOO,T1AADEOO,T1NCSOSR,T2AEM,T2AOE,T2ADE,T2AT,T2Luck,T2SOSR,T2AAOEOO,T2AADEOO,T2NCSOSR,Team_1_Score,Team_2_Score
1-31-23,Mississippi St.,South Carolina,14.63,105.6,91.0,63.7,-0.017,5.66,105.9,100.3,-3.24,-6.69,101.2,107.8,64.4,0.074,4.01,106.9,102.9,-3.25,66,51
1-31-23,Wake Forest,Duke,10.73,114.9,104.1,68.9,-0.011,5.36,106.6,101.3,-1.2,17.65,113.6,96.0,65.5,0.03,6.23,108.6,102.3,3.5,73,75
1-31-23,Virginia Tech,Miami (FL),14.16,113.5,99.4,66.4,-0.096,5.78,107.8,102.0,-2.93,15.88,118.0,102.1,68.1,0.002,4.65,106.7,102.0,-1.08,83,92
1-31-23,Toledo,Miami (OH),5.58,116.7,111.1,70.4,0.035,-2.69,103.9,106.6,-0.83,-10.71,104.0,114.7,67.6,-0.086,-2.17,104.2,106.3,-1.76,81,78
1-31-23,VCU,Davidson,9.49,104.6,95.1,68.8,0.006,-0.92,103.6,104.6,-1.89,2.07,106.0,103.9,65.8,-0.042,1.59,105.0,103.4,-1.11,61,59
1-31-23,Clemson,Boston College,11.44,109.1,97.6,68.0,0.05,1.29,105.8,104.6,-5.32,-0.17,100.9,101.1,66.3,0.087,3.66,108.2,104.5,-3.72,54,62
1-31-23,Saint Louis,Fordham,9.36,112.5,103.1,68.6,0.068,2.33,105.0,102.7,4.42,1.41,102.3,100.9,69.6,0.143,-6.77,100.5,107.3,-11.99,65,75
1-31-23,Marist,Quinnipiac,-12.22,95.2,107.4,65.1,-0.012,-6.31,100.4,106.7,-9.03,3.69,105.1,101.4,69.5,-0.008,-3.79,101.5,105.3,-2.1,66,72
1-31-23,Central Mich.,Kent St.,-12.26,95.3,107.6,67.6,0.012,-2.53,104.2,106.8,-0.51,10.86,106.9,96.0,67.8,-0.007,-1.59,105.0,106.6,2.85,69,81
1-31-23,NIU,Western Mich.,-7.6,100.2,107.8,68.5,0.02,0.03,105.1,105.1,2.56,-11.01,104.1,115.1,65.7,-0.061,0.28,105.2,104.9,1.88,73,59
1-31-23,Ball St.,Bowling Green,1.07,107.2,106.1,67.0,0.051,-2.79,104.5,107.3,-4.09,-6.78,104.0,110.8,69.3,-0.04,-4.17,104.8,109.0,-4.68,69,60
1-31-23,Ohio,Eastern Mich.,0.58,109.8,109.2,67.8,-0.056,-0.6,106.0,106.6,0.41,-12.54,102.1,114.6,70.1,-0.017,-1.89,105.2,107.1,-0.6,79,90
1-31-23,Nebraska,Illinois,6.3,103.9,97.6,65.9,0.015,11.69,110.9,99.2,2.99,18.7,111.4,92.7,69.4,-0.002,5.71,106.6,100.9,-5.0,56,72
1-31-23,Texas A&M,Arkansas,15.11,114.0,98.9,66.5,-0.007,4.01,105.9,101.9,-1.57,18.89,111.0,92.1,69.4,-0.054,6.71,108.2,101.5,2.75,70,81
1-31-23,Akron,Buffalo,5.63,106.6,101.0,64.5,0.045,-3.28,103.4,106.6,-0.43,-0.88,104.2,105.1,72.9,-0.041,1.84,106.4,104.5,5.84,81,64
